Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.Extras,Free.captive,Pathogen1,Pathogen,Pathotype.Bin.2,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Quiscalus,Great tailed grackle,,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,21,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Pelecaniformes,Ardeidae,Butorides,Green heron,Butorides virescens,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Passeridae,Passer,House sparrow,,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,5,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Laniidae,Lanius,Loggerhead shrike,,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,3,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Zenaida,Mourning dove,,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,5,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Tyrannidae,Empidonax,Pacific slope flycatcher,Empidonax difficilis,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Agelaius,Red-winged blackbird,Agelaius phoeniceus,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,2,157,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Pooecetes,Vesper sparrow,Pooecetes gramineus,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,4,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Tyrannidae,Tyrannus,Western kingbird,Tyrannus verticalis,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Zonotrichia,White-crowned sparrow,Zonotrichia leucophrys,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,3,16,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Zenaida,White-winged dove,Zenaida asiatica,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,3,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Parulidae,Cardellina,Wilson's warbler,Cardellina pusilla,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Xanthocephalus,Yellow-headed blackbird,Xanthocephalus xanthocephalus,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,3,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jay-Russell and Justice-Allen,2014,Jay-Russell and Justice-Allen 2014,grey literature,Google Scholar,"USA, California, Southern/Arizona, southern",yes,North America,"PCR (stx1, stx2, eaeA, hlyA, fliC and rfbE), immunomagnetic separation, culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Parulidae,Setophaga,Yellow-rumped warbler,Setophaga coronata,,free,Escherichia coli non-O157  Shiga toxin producing,STEC,,feces,yes,no,,,ND,11,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,California deermouse,Peromyscus californicus,,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,0,85,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Sciuridae,Otospermophilus,California ground squirrel,Spermophilus beecheyi,,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,0,21,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Cricetidae,,,"Cricetidae (including  Peromyscus boylii, Peromyscus manicultus, Reithrodontomys megalotis, Microtus californicus, Peromyscus californicus, and Neotoma fuscipes)",,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,1,890,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus manicultus,,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,1,747,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Heteromyidae,Dipodomys,Heermann's kangaroo rat,Dipodomys heermani,,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,1,43,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Heteromyidae ,,,Heteromyidae (including  Chaetodipus californicus and Dipodomys heermani),,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,1,53,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Muridae ,,,Muridae (including Mus musculus and Rattus norvegicus),,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,0,36,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodent,,,,,,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,0,43,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodent,,,,,,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,2,1043,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"PCR (rfbE), Culture broth and plate, immunomagnetic seperation",Molecular,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Sciuridae,,,Sciuridae (including Spermophilus beecheyi),,free,Escherichia coli O157:H7,EHEC,,feces,yes,no,,,0,21,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kullas et al. ,2002,Kullas et al.  2002,yes,review,"USA, CO, Fort Collins",yes,North America,"PCR (SLT-I, SLT-II, eae, hly-A, K1, LT, STa, STb, CNF1, and CNF2), biochemical, culture, confirm AP120E strip",Molecular,NA,NA,,innoculation loop full (variable),Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli enteroaggregative,EAEC,,feces,yes,no,,,2,151,0.013,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kullas et al. ,2002,Kullas et al.  2002,yes,review,"USA, CO, Fort Collins",yes,North America,"PCR (SLT-I, SLT-II, eae, hly-A, K1, LT, STa, STb, CNF1, and CNF2), biochemical, culture, confirm AP120E strip",Molecular,NA,NA,,innoculation loop full (variable),Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli enterohemorrhagic,EHEC,,feces,yes,no,,,9,151,0.06,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kullas et al. ,2002,Kullas et al.  2002,yes,review,"USA, CO, Fort Collins",yes,North America,"PCR (SLT-I, SLT-II, eae, hly-A, K1, LT, STa, STb, CNF1, and CNF2), biochemical, culture, confirm AP120E strip",Molecular,NA,NA,,innoculation loop full (variable),Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli enteroinvasive,EIEC,,feces,yes,no,,,7,151,0.046,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kullas et al. ,2002,Kullas et al.  2002,yes,review,"USA, CO, Fort Collins",yes,North America,"PCR (SLT-I, SLT-II, eae, hly-A, K1, LT, STa, STb, CNF1, and CNF2), biochemical, culture, confirm AP120E strip",Molecular,NA,NA,,innoculation loop full (variable),Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli enteropathogenic,EPEC,,feces,yes,no,,,19,151,0.13,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kullas et al. ,2002,Kullas et al.  2002,yes,review,"USA, CO, Fort Collins",yes,North America,"Culture, confirm AP120E strip",Conventional,NA,NA,,innoculation loop full (variable),Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,147,397,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kullas et al. ,2002,Kullas et al.  2002,yes,review,"USA, CO, Fort Collins",yes,North America,"Culture, confirm AP120E strip",Conventional,NA,NA,,innoculation loop full (variable),Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,62,151,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,Standard Method ( Nordic Committee on Food Analysis),Immunologic,NA,NA,,1 g,Animal,Mammal,Rodentia,Cricetidae,Myodes,Bank vole,Myodes glareolus,,free,Escherichia coli O157  vero cytotoxin producing,EHEC,,intestines content,yes,no,,,ND,7,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,Standard Method ( Nordic Committee on Food Analysis),Immunologic,NA,NA,,1 g,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus musculus,,free,Escherichia coli O157  vero cytotoxin producing,EHEC,,intestines content,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,Standard Method ( Nordic Committee on Food Analysis),Immunologic,NA,NA,,1 g,Animal,Mammal,Rodentia,Muridae,Apodemus,Wood mouse,Apodemus sylvaticus,,free,Escherichia coli O157  vero cytotoxin producing,EHEC,,intestines content,yes,no,,,ND,12,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,Standard Method ( Nordic Committee on Food Analysis),Immunologic,NA,NA,,1 g,Animal,Mammal,Rodentia,Muridae,Apodemus,Yellow-necked mouse,Apodemus flavicollis,,free,Escherichia coli O157  vero cytotoxin producing,EHEC,,intestines content,yes,no,,,ND,45,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lowenstein et al.,2020,Lowenstein et al. 2020,yes,Web of Science,"Ecuador, Yaruqui, Quito",no,South America,"PCR (eae, bfpA, aEPEC, stx-1, stx-2), Plate Culture ",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis catus,,domestic,Escherichia coli shiga toxin production,STEC,,feces swab,yes,no,,,0,21,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Medhanie et al.,2014,Medhanie et al. 2014,yes,Google Scholar,"USA, Ohio, Wayne and Holms counties, dairy farms.",no,North America,"culture plate, immunomagnetic separation",Immunologic,NA,NA,,5 g pooled sample,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,,,free,Escherichia coli O157:H7 ,EHEC,,feces pooled,yes,no,,,5,179,NA,,,NA,NA,NA,,,NA,NA,,also seperated by time of year and location,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Meteyer et al.,1997,Meteyer et al. 1997,yes,review,"USA, Minnesota/North Dakota/Lake Michigan/Lake Huron ",yes,North America,"biochemical, API 20E, outside lab, culture plate and broth",Conventional,NA,NA,,NA,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Double-crested cormorant,Phalacrocorax auritus,,free,Escherichia coli,Escherichia coli,,"tissue (intestines, liver, brain), dead bird ",yes,no,,,6,72,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Middleton and Ambrose,2005,Middleton and Ambrose 2005,yes,review,"USA, Maryland Eastern Shore",yes,North America,Plate Count,Conventional,100,NA,,variable standardized by dilution,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli,Escherichia coli,,feces,yes,yes,Stats Total,,47,63,NA,,660000,NA,NA,NA,,10000000,NA,NA,CFU/g wet weight feces,For a`ll Samples,Contains Seasonal Data and antibiotic resistance,NA,NA,0,100,NA,NA,NA,NA,High,3
Middleton and Ambrose,2005,Middleton and Ambrose 2005,yes,review,"USA, Maryland Eastern Shore",yes,North America,Plate Count,Conventional,NA,NA,,variable standardized by dilution,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli,Escherichia coli,,feces (with Escherichia coli),no,yes,StatsTotal,no,,47,NA,,660000,NA,NA,NA,70000,1300000,NA,NA,CFU/g,Samples with E. coli,Contains Seasonal Data and antibiotic resistance,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Morabito et al.,2001,Morabito et al. 2001,yes,review,"Italy, Rome",no,Europe,"biochemical, culture broth and plate",Conventional,NA,NA,,swab variable,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Escherichia coli shiga toxin production,STEC,,feces swab,yes,no,,,70,649,NA,,,NA,NA,NA,,,NA,NA,,,specific E. coli strains identified by PCR,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Morabito et al.,2001,Morabito et al. 2001,yes,review,"Italy, Rome",no,Europe,"biochemical, culture broth and plate",Conventional,NA,NA,,swab variable,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Escherichia coli shiga toxin production,STEC,,feces swab,yes,no,,,32,263,NA,,,NA,NA,NA,,,NA,NA,,different bird flocks,specific E. coli strains identified by PCR,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Morabito et al.,2001,Morabito et al. 2001,yes,review,"Italy, Rome",no,Europe,"biochemical, culture broth and plate",Conventional,NA,NA,,swab variable,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Escherichia coli shiga toxin production,STEC,,feces swab,yes,no,,,18,225,NA,,,NA,NA,NA,,,NA,NA,,different bird flocks,specific E. coli strains identified by PCR,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Morabito et al.,2001,Morabito et al. 2001,yes,review,"Italy, Rome",no,Europe,"biochemical, culture broth and plate",Conventional,NA,NA,,swab variable,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Escherichia coli shiga toxin production,STEC,,feces swab,yes,no,,,20,161,NA,,,NA,NA,NA,,,NA,NA,,different bird flocks,specific E. coli strains identified by PCR,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"biochemical, Culture broth, Colilert",Conventional,10,NA,CFU/g,1-25 g,Animal,Bird,Anseriformes,Anatidae,Cygnus,Black swan,Cygnus atratus,,free,Escherichia coli,Escherichia coli,,feces,no,yes,StatsTotal,no,75,80,0.94,,1910000,NA,NA,NA,,,NA,NA,CFU/g,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"biochemical, Culture broth, Colilert",Conventional,10,NA,CFU/g,1-25 g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Escherichia coli,Escherichia coli,,feces,no,yes,StatsTotal,no,76,80,0.95,,36100,NA,NA,NA,,,NA,NA,CFU/g,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"biochemical, Culture broth, Colilert",Conventional,10,NA,CFU/g,1-25 g,Animal,Bird,Anseriformes,Anatidae,Anas,,,Duck  (genus),free,Escherichia coli,Escherichia coli,,feces,no,yes,StatsTotal,no,76,80,0.95,,94600000,NA,NA,NA,,,NA,NA,CFU/g,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"biochemical, Culture broth, Colilert",Conventional,10,NA,CFU/g,1-25 g,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,feces,no,yes,StatsTotal,no,77,80,0.96,,18700000,NA,NA,NA,,,NA,NA,CFU/g,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Morishita et al.,1999,Morishita et al. 1999,yes,review,"USA, Ohio, within 1 mile of agricultural fields or urban area",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Spinus,American goldfinch,Carduelis tristis,,free,Escherichia coli,Escherichia coli,,cloacal swab,yes,no,,,ND,11,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Morishita et al.,1999,Morishita et al. 1999,yes,review,"USA, Ohio, within 1 mile of agricultural fields or urban area",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,NA,Animal,Bird,Passeriformes,Turdidae,Turdus,American robin,Turdus migratorius,,free,Escherichia coli,Escherichia coli,,cloacal swab,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Morishita et al.,1999,Morishita et al. 1999,yes,review,"USA, Ohio, within 1 mile of agricultural fields or urban area",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,NA,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,Sturnus vulgaris,,free,Escherichia coli,Escherichia coli,,cloacal swab,yes,no,,,186,868,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Morishita et al.,1999,Morishita et al. 1999,yes,review,"USA, Ohio, within 1 mile of agricultural fields or urban area",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Haemorhous,House finch,Haemorhous mexicanus,,free,Escherichia coli,Escherichia coli,,cloacal swab,yes,no,,,43,416,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Morishita et al.,1999,Morishita et al. 1999,yes,review,"USA, Ohio, within 1 mile of agricultural fields or urban area",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,NA,Animal,Bird,Passeriformes,Passeridae,Passer,House sparrow,Passer domesticus,,free,Escherichia coli,Escherichia coli,,cloacal swab,yes,no,,,64,373,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Morishita et al.,1999,Morishita et al. 1999,yes,review,"USA, Ohio, within 1 mile of agricultural fields or urban area",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Haemorhous,Purple finch,Haemorhous purpureus,,free,Escherichia coli,Escherichia coli,,cloacal swab,yes,no,,,ND,9,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
